"episode_id","scenario","action_sequence_json","outcome_score","notes"
"EPI00121","multi_stakeholder","[""pause_sequence"", ""offer_trial"", ""book_demo"", ""retarget_ads""]","0.346","best when lead score >70"
"EPI00122","budget_blocker","[""pause_sequence"", ""offer_trial"", ""retarget_ads"", ""escalate_manager"", ""follow_up_sms""]","0.66","great for re-engagement"
"EPI00123","security_review","[""follow_up_sms"", ""retarget_ads""]","0.157","worked well for APAC SMBs"
"EPI00124","multi_stakeholder","[""follow_up_sms"", ""book_demo"", ""offer_trial"", ""escalate_manager""]","0.856","worked well for APAC SMBs"
"EPI00125","budget_blocker","[""send_case_study"", ""follow_up_sms""]","0.745","best when lead score >70"
"EPI00126","smb_quick_win","[""follow_up_sms"", ""book_demo"", ""retarget_ads""]","0.909","worked well for APAC SMBs"
"EPI00127","multi_stakeholder","[""book_demo"", ""pause_sequence"", ""offer_trial""]","0.659","best when lead score >70"
"EPI00128","budget_blocker","[""follow_up_sms"", ""pause_sequence"", ""offer_trial"", ""escalate_manager"", ""book_demo""]","0.158","worked well for APAC SMBs"
"EPI00129","smb_quick_win","[""escalate_manager"", ""retarget_ads"", ""send_case_study""]","0.153","requires security one-pager"
"EPI00130","security_review","[""book_demo"", ""follow_up_sms"", ""offer_trial""]","0.226","requires security one-pager"
"EPI00131","budget_blocker","[""send_case_study"", ""retarget_ads"", ""offer_trial"", ""follow_up_sms"", ""escalate_manager""]","0.052","requires security one-pager"
"EPI00132","smb_quick_win","[""send_case_study"", ""book_demo"", ""pause_sequence"", ""offer_trial""]","0.977","worked well for APAC SMBs"
"EPI00133","multi_stakeholder","[""send_case_study"", ""offer_trial"", ""retarget_ads"", ""follow_up_sms""]","0.6","worked well for APAC SMBs"
"EPI00134","churn_risk","[""follow_up_sms"", ""send_case_study"", ""book_demo""]","0.812","great for re-engagement"
"EPI00135","security_review","[""escalate_manager"", ""pause_sequence""]","0.567","worked well for APAC SMBs"
"EPI00136","enterprise_eval","[""follow_up_sms"", ""offer_trial""]","0.58","great for re-engagement"
"EPI00137","budget_blocker","[""retarget_ads"", ""escalate_manager"", ""follow_up_sms""]","0.962","worked well for APAC SMBs"
"EPI00138","enterprise_eval","[""escalate_manager"", ""send_case_study""]","0.166","worked well for APAC SMBs"
"EPI00139","security_review","[""offer_trial"", ""follow_up_sms""]","0.086","great for re-engagement"
"EPI00140","multi_stakeholder","[""retarget_ads"", ""pause_sequence"", ""send_case_study"", ""book_demo"", ""escalate_manager""]","0.009","best when lead score >70"
"EPI00141","churn_risk","[""book_demo"", ""pause_sequence"", ""offer_trial"", ""send_case_study""]","0.278","requires security one-pager"
"EPI00142","smb_quick_win","[""offer_trial"", ""book_demo""]","0.383","requires security one-pager"
"EPI00143","multi_stakeholder","[""book_demo"", ""send_case_study"", ""follow_up_sms"", ""pause_sequence"", ""offer_trial""]","0.676","great for re-engagement"
"EPI00144","smb_quick_win","[""book_demo"", ""escalate_manager""]","0.071","worked well for APAC SMBs"
"EPI00145","churn_risk","[""follow_up_sms"", ""book_demo"", ""retarget_ads"", ""send_case_study"", ""pause_sequence""]","0.631","requires security one-pager"
"EPI00146","budget_blocker","[""escalate_manager"", ""send_case_study"", ""pause_sequence""]","0.185","great for re-engagement"
"EPI00147","budget_blocker","[""pause_sequence"", ""retarget_ads""]","0.16","requires security one-pager"
"EPI00148","multi_stakeholder","[""book_demo"", ""follow_up_sms"", ""offer_trial"", ""escalate_manager""]","0.552","great for re-engagement"
"EPI00149","budget_blocker","[""retarget_ads"", ""offer_trial"", ""escalate_manager""]","0.638","worked well for APAC SMBs"
"EPI00150","security_review","[""retarget_ads"", ""book_demo"", ""send_case_study""]","0.042","requires security one-pager"
"EPI00151","security_review","[""book_demo"", ""pause_sequence""]","0.674","requires security one-pager"
"EPI00152","multi_stakeholder","[""retarget_ads"", ""offer_trial""]","0.421","requires security one-pager"
"EPI00153","enterprise_eval","[""escalate_manager"", ""follow_up_sms""]","0.927","great for re-engagement"
"EPI00154","churn_risk","[""escalate_manager"", ""retarget_ads"", ""pause_sequence""]","0.531","best when lead score >70"
"EPI00155","security_review","[""book_demo"", ""pause_sequence"", ""escalate_manager"", ""send_case_study"", ""retarget_ads""]","0.687","worked well for APAC SMBs"
"EPI00156","budget_blocker","[""offer_trial"", ""send_case_study"", ""retarget_ads"", ""book_demo""]","0.217","requires security one-pager"
"EPI00157","churn_risk","[""retarget_ads"", ""send_case_study""]","0.278","best when lead score >70"
"EPI00158","smb_quick_win","[""retarget_ads"", ""follow_up_sms"", ""escalate_manager"", ""book_demo""]","0.362","requires security one-pager"
"EPI00159","budget_blocker","[""escalate_manager"", ""offer_trial"", ""pause_sequence"", ""send_case_study"", ""retarget_ads""]","0.263","requires security one-pager"
"EPI00160","enterprise_eval","[""retarget_ads"", ""pause_sequence""]","0.999","worked well for APAC SMBs"
"EPI00161","multi_stakeholder","[""pause_sequence"", ""offer_trial""]","0.804","best when lead score >70"
"EPI00162","churn_risk","[""book_demo"", ""retarget_ads"", ""offer_trial"", ""pause_sequence"", ""escalate_manager""]","0.853","worked well for APAC SMBs"
"EPI00163","multi_stakeholder","[""escalate_manager"", ""send_case_study"", ""book_demo"", ""pause_sequence"", ""offer_trial""]","0.626","worked well for APAC SMBs"
"EPI00164","multi_stakeholder","[""escalate_manager"", ""send_case_study"", ""book_demo""]","0.128","requires security one-pager"
"EPI00165","smb_quick_win","[""offer_trial"", ""book_demo"", ""send_case_study""]","0.221","great for re-engagement"
"EPI00166","enterprise_eval","[""follow_up_sms"", ""book_demo"", ""retarget_ads"", ""pause_sequence""]","0.838","great for re-engagement"
"EPI00167","enterprise_eval","[""retarget_ads"", ""pause_sequence"", ""follow_up_sms"", ""book_demo""]","0.197","best when lead score >70"
"EPI00168","churn_risk","[""follow_up_sms"", ""book_demo""]","0.194","best when lead score >70"
"EPI00169","multi_stakeholder","[""offer_trial"", ""escalate_manager"", ""follow_up_sms"", ""retarget_ads"", ""book_demo""]","0.26","worked well for APAC SMBs"
"EPI00170","security_review","[""book_demo"", ""offer_trial"", ""pause_sequence"", ""send_case_study"", ""retarget_ads""]","0.212","worked well for APAC SMBs"
"EPI00171","churn_risk","[""escalate_manager"", ""book_demo""]","0.064","great for re-engagement"
"EPI00172","enterprise_eval","[""book_demo"", ""retarget_ads"", ""pause_sequence"", ""follow_up_sms"", ""offer_trial""]","0.34","worked well for APAC SMBs"
"EPI00173","multi_stakeholder","[""offer_trial"", ""pause_sequence"", ""retarget_ads"", ""book_demo"", ""send_case_study""]","0.638","worked well for APAC SMBs"
"EPI00174","security_review","[""send_case_study"", ""pause_sequence""]","0.221","requires security one-pager"
"EPI00175","security_review","[""pause_sequence"", ""send_case_study""]","0.264","worked well for APAC SMBs"
"EPI00176","smb_quick_win","[""send_case_study"", ""escalate_manager"", ""offer_trial""]","0.904","requires security one-pager"
"EPI00177","enterprise_eval","[""send_case_study"", ""follow_up_sms""]","0.65","best when lead score >70"
"EPI00178","churn_risk","[""retarget_ads"", ""follow_up_sms""]","0.079","great for re-engagement"
"EPI00179","enterprise_eval","[""send_case_study"", ""offer_trial"", ""retarget_ads""]","0.841","best when lead score >70"
"EPI00180","enterprise_eval","[""retarget_ads"", ""offer_trial"", ""book_demo""]","0.432","requires security one-pager"
"EPI00181","smb_quick_win","[""book_demo"", ""retarget_ads"", ""send_case_study"", ""follow_up_sms""]","0.848","requires security one-pager"
"EPI00182","enterprise_eval","[""book_demo"", ""escalate_manager""]","0.59","great for re-engagement"
"EPI00183","budget_blocker","[""book_demo"", ""offer_trial"", ""pause_sequence"", ""follow_up_sms""]","0.992","requires security one-pager"
"EPI00184","budget_blocker","[""retarget_ads"", ""offer_trial"", ""follow_up_sms"", ""escalate_manager""]","0.177","best when lead score >70"
"EPI00185","budget_blocker","[""pause_sequence"", ""send_case_study"", ""retarget_ads""]","0.565","worked well for APAC SMBs"
"EPI00186","smb_quick_win","[""book_demo"", ""send_case_study""]","0.268","great for re-engagement"
"EPI00187","budget_blocker","[""offer_trial"", ""book_demo""]","0.27","worked well for APAC SMBs"
"EPI00188","enterprise_eval","[""send_case_study"", ""pause_sequence"", ""escalate_manager""]","0.449","requires security one-pager"
"EPI00189","enterprise_eval","[""retarget_ads"", ""follow_up_sms"", ""pause_sequence"", ""escalate_manager"", ""send_case_study""]","0.135","requires security one-pager"
"EPI00190","multi_stakeholder","[""book_demo"", ""pause_sequence"", ""send_case_study"", ""retarget_ads"", ""follow_up_sms""]","0.96","best when lead score >70"
"EPI00191","budget_blocker","[""pause_sequence"", ""escalate_manager"", ""book_demo""]","0.472","requires security one-pager"
"EPI00192","churn_risk","[""follow_up_sms"", ""send_case_study"", ""escalate_manager"", ""book_demo"", ""retarget_ads""]","0.689","requires security one-pager"
"EPI00193","security_review","[""retarget_ads"", ""book_demo"", ""offer_trial""]","0.006","worked well for APAC SMBs"
"EPI00194","budget_blocker","[""retarget_ads"", ""pause_sequence"", ""escalate_manager"", ""send_case_study"", ""offer_trial""]","0.894","best when lead score >70"
"EPI00195","multi_stakeholder","[""send_case_study"", ""escalate_manager"", ""offer_trial""]","0.446","worked well for APAC SMBs"
"EPI00196","churn_risk","[""follow_up_sms"", ""retarget_ads"", ""escalate_manager"", ""book_demo""]","0.591","worked well for APAC SMBs"
"EPI00197","enterprise_eval","[""send_case_study"", ""follow_up_sms"", ""escalate_manager"", ""retarget_ads"", ""pause_sequence""]","0.149","great for re-engagement"
"EPI00198","security_review","[""retarget_ads"", ""follow_up_sms"", ""offer_trial""]","0.324","worked well for APAC SMBs"
"EPI00199","churn_risk","[""pause_sequence"", ""retarget_ads"", ""follow_up_sms"", ""offer_trial"", ""escalate_manager""]","0.289","worked well for APAC SMBs"
"EPI00200","churn_risk","[""escalate_manager"", ""follow_up_sms""]","0.896","requires security one-pager"
"EPI00201","multi_stakeholder","[""book_demo"", ""send_case_study"", ""pause_sequence"", ""retarget_ads"", ""offer_trial""]","0.299","requires security one-pager"
"EPI00202","enterprise_eval","[""follow_up_sms"", ""escalate_manager""]","0.916","worked well for APAC SMBs"
"EPI00203","enterprise_eval","[""retarget_ads"", ""follow_up_sms""]","0.921","worked well for APAC SMBs"
"EPI00204","budget_blocker","[""escalate_manager"", ""follow_up_sms"", ""pause_sequence""]","0.702","requires security one-pager"
"EPI00205","budget_blocker","[""book_demo"", ""follow_up_sms"", ""offer_trial"", ""send_case_study"", ""pause_sequence""]","0.396","worked well for APAC SMBs"
"EPI00206","smb_quick_win","[""book_demo"", ""pause_sequence"", ""offer_trial"", ""retarget_ads""]","0.451","great for re-engagement"
"EPI00207","churn_risk","[""offer_trial"", ""follow_up_sms"", ""retarget_ads"", ""pause_sequence""]","0.117","requires security one-pager"
"EPI00208","enterprise_eval","[""escalate_manager"", ""offer_trial"", ""retarget_ads"", ""follow_up_sms""]","0.069","requires security one-pager"
"EPI00209","smb_quick_win","[""send_case_study"", ""pause_sequence"", ""book_demo"", ""retarget_ads""]","0.415","best when lead score >70"
"EPI00210","enterprise_eval","[""retarget_ads"", ""send_case_study"", ""offer_trial"", ""follow_up_sms"", ""escalate_manager""]","0.953","requires security one-pager"
"EPI00211","budget_blocker","[""follow_up_sms"", ""send_case_study"", ""pause_sequence"", ""escalate_manager"", ""retarget_ads""]","0.243","great for re-engagement"
"EPI00212","multi_stakeholder","[""follow_up_sms"", ""retarget_ads""]","0.749","best when lead score >70"
"EPI00213","security_review","[""offer_trial"", ""follow_up_sms""]","0.439","great for re-engagement"
"EPI00214","churn_risk","[""escalate_manager"", ""retarget_ads"", ""follow_up_sms"", ""send_case_study"", ""pause_sequence""]","0.135","best when lead score >70"
"EPI00215","churn_risk","[""follow_up_sms"", ""escalate_manager""]","0.425","worked well for APAC SMBs"
"EPI00216","churn_risk","[""retarget_ads"", ""escalate_manager"", ""send_case_study"", ""pause_sequence""]","0.639","worked well for APAC SMBs"
"EPI00217","budget_blocker","[""follow_up_sms"", ""escalate_manager""]","0.427","best when lead score >70"
"EPI00218","enterprise_eval","[""book_demo"", ""offer_trial""]","0.923","best when lead score >70"
"EPI00219","security_review","[""escalate_manager"", ""pause_sequence"", ""book_demo"", ""retarget_ads"", ""follow_up_sms""]","0.506","best when lead score >70"
"EPI00220","multi_stakeholder","[""book_demo"", ""offer_trial"", ""send_case_study"", ""retarget_ads"", ""follow_up_sms""]","0.394","great for re-engagement"
"EPI00221","smb_quick_win","[""book_demo"", ""send_case_study"", ""offer_trial""]","0.822","best when lead score >70"
"EPI00222","multi_stakeholder","[""pause_sequence"", ""offer_trial""]","0.84","worked well for APAC SMBs"
"EPI00223","security_review","[""book_demo"", ""send_case_study"", ""retarget_ads""]","0.519","best when lead score >70"
"EPI00224","multi_stakeholder","[""follow_up_sms"", ""retarget_ads"", ""send_case_study"", ""offer_trial"", ""pause_sequence""]","0.801","best when lead score >70"
"EPI00225","churn_risk","[""follow_up_sms"", ""send_case_study""]","0.489","worked well for APAC SMBs"
"EPI00226","budget_blocker","[""retarget_ads"", ""escalate_manager"", ""offer_trial"", ""send_case_study"", ""pause_sequence""]","0.536","requires security one-pager"
"EPI00227","enterprise_eval","[""follow_up_sms"", ""retarget_ads"", ""offer_trial"", ""send_case_study""]","0.888","best when lead score >70"
"EPI00228","churn_risk","[""follow_up_sms"", ""escalate_manager"", ""offer_trial"", ""pause_sequence"", ""retarget_ads""]","0.468","requires security one-pager"
"EPI00229","churn_risk","[""send_case_study"", ""book_demo"", ""pause_sequence""]","0.92","great for re-engagement"
"EPI00230","security_review","[""offer_trial"", ""pause_sequence"", ""book_demo"", ""follow_up_sms""]","0.888","great for re-engagement"
"EPI00231","budget_blocker","[""send_case_study"", ""retarget_ads""]","0.132","requires security one-pager"
"EPI00232","churn_risk","[""book_demo"", ""follow_up_sms"", ""escalate_manager""]","0.036","great for re-engagement"
"EPI00233","churn_risk","[""follow_up_sms"", ""send_case_study""]","0.864","great for re-engagement"
"EPI00234","churn_risk","[""send_case_study"", ""escalate_manager"", ""follow_up_sms"", ""book_demo""]","0.525","great for re-engagement"
"EPI00235","smb_quick_win","[""retarget_ads"", ""send_case_study"", ""escalate_manager"", ""pause_sequence""]","0.91","great for re-engagement"
"EPI00236","budget_blocker","[""book_demo"", ""send_case_study""]","0.204","worked well for APAC SMBs"
"EPI00237","budget_blocker","[""send_case_study"", ""offer_trial"", ""pause_sequence"", ""follow_up_sms"", ""escalate_manager""]","0.062","worked well for APAC SMBs"
"EPI00238","churn_risk","[""offer_trial"", ""send_case_study""]","0.484","worked well for APAC SMBs"
"EPI00239","enterprise_eval","[""book_demo"", ""retarget_ads""]","0.281","requires security one-pager"
"EPI00240","enterprise_eval","[""pause_sequence"", ""escalate_manager"", ""send_case_study"", ""retarget_ads"", ""follow_up_sms""]","0.589","requires security one-pager"
"EPI00241","smb_quick_win","[""book_demo"", ""send_case_study"", ""retarget_ads"", ""offer_trial"", ""escalate_manager""]","0.206","requires security one-pager"
"EPI00242","multi_stakeholder","[""escalate_manager"", ""pause_sequence"", ""book_demo""]","0.45","worked well for APAC SMBs"
"EPI00243","security_review","[""send_case_study"", ""offer_trial"", ""pause_sequence"", ""retarget_ads"", ""escalate_manager""]","0.491","great for re-engagement"
"EPI00244","budget_blocker","[""offer_trial"", ""book_demo""]","0.971","requires security one-pager"
"EPI00245","smb_quick_win","[""follow_up_sms"", ""offer_trial""]","0.966","great for re-engagement"
"EPI00246","security_review","[""retarget_ads"", ""escalate_manager"", ""follow_up_sms"", ""book_demo""]","0.128","great for re-engagement"
"EPI00247","security_review","[""follow_up_sms"", ""offer_trial"", ""book_demo""]","0.793","requires security one-pager"
"EPI00248","smb_quick_win","[""pause_sequence"", ""retarget_ads"", ""escalate_manager"", ""follow_up_sms"", ""offer_trial""]","0.22","worked well for APAC SMBs"
"EPI00249","enterprise_eval","[""book_demo"", ""offer_trial""]","0.404","requires security one-pager"
"EPI00250","smb_quick_win","[""send_case_study"", ""escalate_manager""]","0.302","best when lead score >70"
