"segment_id","name","rules_json","description"
"SEG0001","Atlas Nurture Segment","{""industry"": null, ""min_lead_score"": 70, ""regions"": [""APAC"", ""MEA""], ""preferred_channel"": ""Email""}","High-intent APAC"
"SEG0002","Vector Spark Segment","{""industry"": ""Eâ€‘commerce"", ""min_lead_score"": 70, ""regions"": [""LATAM""], ""preferred_channel"": null}","Security-focused enterprise"
"SEG0003","Atlas Merit Segment","{""industry"": ""FinTech"", ""min_lead_score"": 80, ""regions"": [""EU"", ""US""], ""preferred_channel"": null}","Reactivation cohort"
"SEG0004","Lumen Zenith Segment","{""industry"": ""Retail"", ""min_lead_score"": 70, ""regions"": [""LATAM"", ""India""], ""preferred_channel"": ""Web""}","Reactivation cohort"
"SEG0005","Delta Green Segment","{""industry"": null, ""min_lead_score"": null, ""regions"": [""US"", ""EU"", ""India""], ""preferred_channel"": ""Web""}","High-intent APAC"
"SEG0006","Flow Zenith Segment","{""industry"": null, ""min_lead_score"": 80, ""regions"": [""EU""], ""preferred_channel"": ""SMS""}","High-intent APAC"
"SEG0007","Quantum Atlas Segment","{""industry"": null, ""min_lead_score"": null, ""regions"": [""MEA""], ""preferred_channel"": ""Web""}","High-intent APAC"
"SEG0008","Green Spark Segment","{""industry"": null, ""min_lead_score"": null, ""regions"": [""APAC"", ""US""], ""preferred_channel"": ""Call""}","Security-focused enterprise"
"SEG0009","Merit Beta Segment","{""industry"": null, ""min_lead_score"": 80, ""regions"": [""MEA""], ""preferred_channel"": ""Social""}","High-intent APAC"
"SEG0010","Orbit Velocity Segment","{""industry"": null, ""min_lead_score"": 60, ""regions"": [""APAC""], ""preferred_channel"": ""SMS""}","Price-sensitive SMB"
"SEG0011","Atlas Zenith Segment","{""industry"": ""HealthTech"", ""min_lead_score"": null, ""regions"": [""India"", ""APAC"", ""LATAM""], ""preferred_channel"": null}","Price-sensitive SMB"
"SEG0012","Nova Atlas Segment","{""industry"": ""HealthTech"", ""min_lead_score"": 70, ""regions"": [""MEA"", ""US"", ""LATAM""], ""preferred_channel"": ""SMS""}","Price-sensitive SMB"
"SEG0013","Quantum Green Segment","{""industry"": ""HealthTech"", ""min_lead_score"": 70, ""regions"": [""EU""], ""preferred_channel"": ""Call""}","High-intent APAC"
"SEG0014","Zenith Lumen Segment","{""industry"": ""Retail"", ""min_lead_score"": null, ""regions"": [""India"", ""US""], ""preferred_channel"": ""Call""}","Security-focused enterprise"
"SEG0015","Bridge Bridge Segment","{""industry"": null, ""min_lead_score"": null, ""regions"": [""EU"", ""APAC"", ""India""], ""preferred_channel"": ""Web""}","Price-sensitive SMB"
